Block,Street,Side,,Starting Rate,"First RateChange",Second Rate Change,Third Rate Change,"Fourth RateChange",Fifth Rate Change,
Unit,N Paca,ES,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.00 ,$1.75 ,
Unit,N Paca,WS,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.00 ,$1.75 ,Increase
100,N Pine,ES,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.25 ,$2.00 ,Maintain
100,N Pine,WS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.25 ,$2.00 ,Decrease
200,N Pine,ES,,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,
200,N Pine,WS,,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.25 ,
200,N Sharp,ES,,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.50 ,$2.75 ,
100,Park,ES,,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,$1.25 ,
100,Park,WS,,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,$1.25 ,
200,Park,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$1.00 ,
200,Park,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$1.00 ,
300,Park,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.25 ,
300,Park,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.25 ,
400,Park,ES,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,
400,Park,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,
Unit,Park,WS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,
100,Pearl,ES,,$2.00 ,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,
100,Pearl,WS,,$2.00 ,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,
200,Pearl,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
200,Pearl,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
Unit,S Calvert,ES,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,
Unit,S Calvert,WS,,$2.00 ,-,$2.25 ,$2.50 ,$2.75 ,$2.75 ,
100,S Charles,WS,,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.75 ,
Unit,S Charles,ES,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,
100,S Eutaw,ES,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,
100,S Eutaw,WS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,
Unit,S Eutaw,ES,,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.75 ,$3.00 ,
Unit,S Eutaw,WS,,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.75 ,$3.00 ,
100,S Fremont,ES,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$2.00 ,$2.00 ,
100,S Fremont,WS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$2.00 ,$2.00 ,
Unit,S Gay,ES,,$2.00 ,$2.25 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,
Unit,S Gay,WS,,$2.00 ,$2.25 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,
100,S Greene,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
100,S Greene,WS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
Unit,S Greene,ES,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.00 ,
100,S Paca,ES,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
Unit,S Paca,ES,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
Unit,S Paca,WS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
100,S Penn,ES,,$2.00 ,$2.25 ,$2.25 ,$2.25 ,$2.00 ,$1.75 ,
Unit,S Pine,WS,,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.25 ,$2.50 ,
100,S President,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
Unit,South,ES,,$2.00 ,$2.25 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
300,St Paul Pl,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
400,St Paul Pl,WS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.50 ,
100,St Paul St,WS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
200,St Paul St,ES,,$2.00 ,$2.25 ,$2.25 ,$2.00 ,$2.25 ,$2.50 ,
300,St Paul St,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
400,St Paul St,ES,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
