Block,Street,Side,,Starting Rate,"First RateChange",Second Rate Change,Third Rate Change,"Fourth RateChange",Fifth Rate Change,
500,W Baltimore,NS,,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,
500,W Baltimore,SS,,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,Increase
600,W Baltimore,NS,,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.50 ,Maintain
600,W Baltimore,SS,,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.25 ,$2.50 ,Decrease
700,W Baltimore,SS,,$2.00 ,$2.25 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,
100,W Baltimore (service drive),NS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.75 ,
100,W Baltimore (service drive),SS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.50 ,$2.75 ,
300,W Camden,NS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,
300,W Camden,SS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.50 ,
400,W Camden,NS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,
400,W Camden,SS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.50 ,$1.25 ,
200,W Fayette,SS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.50 ,$2.75 ,
300,W Fayette,SS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.25 ,$2.00 ,
400,W Fayette,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
500,W Fayette,SS,,$2.00 ,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,
600,W Fayette,NS,,$2.00 ,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,
600,W Fayette,SS,,$2.00 ,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,
Unit,W Fayette,SS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,$3.25 ,
100,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.00 ,
100,W Franklin,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.00 ,
200,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
300,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
300,W Franklin,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
400,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.00 ,
400,W Franklin,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,$1.00 ,
500,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
Unit,W Franklin,NS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
100,W Lexington,SS,,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,$2.00 ,
200,W Lexington,NS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,
200,W Lexington,SS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.25 ,
300,W Lexington,NS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
300,W Lexington,SS,,$2.00 ,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$3.00 ,
500,W Lexington,NS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$3.00 ,
500,W Lexington,SS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$3.00 ,
600,W Lexington,NS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
600,W Lexington,SS,,$2.00 ,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
700,W Lombard,NS,,$2.00 ,-,$1.75 ,$1.50 ,$1.50 ,$1.50 ,
100,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
200,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
300,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
400,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
500,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
Unit,W Mulberry,SS,,$2.00 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,$0.75 ,
500,W Pratt,NS,,$2.00 ,$1.75 ,$1.75 ,$1.50 ,$1.25 ,$1.00 ,
600,W Pratt,NS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,
600,W Pratt,SS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,
700,W Pratt,NS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,
700,W Pratt,SS,,$2.00 ,$2.00 ,$1.75 ,$1.75 ,$1.75 ,$1.75 ,
300,W Redwood,NS,,$2.00 ,$2.25 ,$2.50 ,$2.75 ,$2.75 ,$2.50 ,
